target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.05,F,20-40,0.8756359525155455,0.8114754098360656,0.1885245901639344,0.7890466531440162,0.21095334685598377,0.4876847290640394,0.9441747572815534,0.055825242718446605,389,104,23,99
F,,0,0.05,F,40-60,0.8650074047208874,0.774390243902439,0.22560975609756098,0.7992565055762082,0.20074349442379183,0.43944636678200694,0.9457478005865103,0.054252199413489736,645,162,37,127
F,,0,0.05,F,60-80,0.8237146606226887,0.7821782178217822,0.21782178217821782,0.7204819277108434,0.27951807228915665,0.40512820512820513,0.9314641744548287,0.06853582554517133,299,116,22,79
F,,0,0.05,F,80+,0.8787878787878788,0.8181818181818182,0.18181818181818182,0.7619047619047619,0.23809523809523808,0.6428571428571429,0.8888888888888888,0.1111111111111111,16,5,2,9
F,,0,0.1,,,0.8705180018517273,0.8406725380304243,0.15932746196957567,0.7401077031140249,0.2598922968859752,0.4861111111111111,0.9407738095238095,0.059226190476190474,3161,1110,199,1050
F,,0,0.1,M,,0.8643902028465853,0.844059405940594,0.15594059405940594,0.7132322818517002,0.2867677181482999,0.4934876989869754,0.9325120514193894,0.06748794858061061,1741,700,126,682
F,,0,0.1,F,,0.878016926260486,0.8344671201814059,0.1655328798185941,0.7759562841530054,0.22404371584699453,0.4730077120822622,0.9511051574012056,0.048894842598794376,1420,410,73,368
F,,0,0.1,,0-20,0.8877735849056604,0.9266666666666666,0.07333333333333333,0.6981132075471698,0.3018867924528302,0.634703196347032,0.9438775510204082,0.05612244897959184,185,80,11,139
F,,0,0.1,,20-40,0.8849580144019523,0.8386243386243386,0.16137566137566137,0.763901549680948,0.23609845031905197,0.5503472222222222,0.932146829810901,0.067853170189099,838,259,61,317
F,,0,0.1,,40-60,0.8649636666690176,0.8233995584988962,0.17660044150110377,0.7476038338658147,0.2523961661341853,0.44037780401416765,0.9460916442048517,0.05390835579514825,1404,474,80,373
F,,0,0.1,,60-80,0.8371687751762337,0.828125,0.171875,0.7079556898288016,0.29204431017119836,0.42231075697211157,0.9410977242302544,0.058902275769745646,703,290,44,212
F,,0,0.1,,80+,0.8640350877192983,0.75,0.25,0.8157894736842105,0.18421052631578946,0.5625,0.9117647058823529,0.08823529411764706,31,7,3,9
F,,0,0.1,M,0-20,0.8871399683008144,0.9252336448598131,0.07476635514018691,0.6842105263157895,0.3157894736842105,0.6470588235294118,0.936,0.064,117,54,8,99
F,,0,0.1,M,20-40,0.8786928290562914,0.8359375,0.1640625,0.7367549668874173,0.2632450331125828,0.5737265415549598,0.9137577002053389,0.08624229979466119,445,159,42,214
F,,0,0.1,M,40-60,0.8590231940527077,0.8373702422145328,0.16262975778546712,0.7142857142857143,0.2857142857142857,0.4416058394160584,0.9421182266009852,0.05788177339901478,765,306,47,242
F,,0,0.1,M,60-80,0.8234847639245452,0.8193548387096774,0.18064516129032257,0.6937716262975778,0.3062283737024221,0.41776315789473684,0.9347319347319347,0.06526806526806526,401,177,28,127
