target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,0-20,0,0.25,M,,0.8563671965312059,0.8143564356435643,0.18564356435643564,0.7496927488734125,0.25030725112658747,0.5185185185185185,0.9242424242424242,0.07575757575757576,1830,611,150,658
F,0-20,0,0.25,F,,0.8713170514107281,0.8321995464852607,0.16780045351473924,0.7453551912568306,0.2546448087431694,0.44057623049219685,0.9485396383866481,0.05146036161335188,1364,466,74,367
F,0-20,0,0.25,,0-20,0.9022893081761006,0.9066666666666666,0.09333333333333334,0.720754716981132,0.2792452830188679,0.6476190476190476,0.9317073170731708,0.06829268292682927,191,74,14,136
F,0-20,0,0.25,,20-40,0.863499780546271,0.8227513227513228,0.17724867724867724,0.7520510483135825,0.2479489516864175,0.5334476843910806,0.9248878923766816,0.07511210762331838,825,272,67,311
F,0-20,0,0.25,,40-60,0.8657006772974866,0.8145695364238411,0.18543046357615894,0.759318423855165,0.24068157614483493,0.44945188794153473,0.9443708609271523,0.05562913907284768,1426,452,84,369
F,0-20,0,0.25,,60-80,0.8259102781973817,0.78515625,0.21484375,0.7280966767371602,0.2719033232628399,0.4267515923566879,0.929305912596401,0.07069408740359898,723,270,55,201
F,0-20,0,0.25,,80+,0.8596491228070176,0.6666666666666666,0.3333333333333333,0.7631578947368421,0.23684210526315788,0.47058823529411764,0.8787878787878788,0.12121212121212122,29,9,4,8
F,0-20,0,0.25,M,0-20,0.8992731048805815,0.9252336448598131,0.07476635514018691,0.7251461988304093,0.27485380116959063,0.678082191780822,0.9393939393939394,0.06060606060606061,124,47,8,99
F,0-20,0,0.25,M,20-40,0.8499586092715232,0.8046875,0.1953125,0.75,0.25,0.5770308123249299,0.9005964214711729,0.09940357852882704,453,151,50,206
F,0-20,0,0.25,M,40-60,0.861339691585977,0.8200692041522492,0.17993079584775087,0.7507002801120448,0.24929971988795518,0.47023809523809523,0.9392523364485982,0.06074766355140187,804,267,52,237
F,0-20,0,0.25,M,60-80,0.8224578636008483,0.7483870967741936,0.25161290322580643,0.754325259515571,0.24567474048442905,0.4496124031007752,0.9178947368421052,0.08210526315789474,436,142,39,116
F,0-20,0,0.25,M,80+,0.47058823529411764,0.0,1.0,0.7647058823529411,0.23529411764705882,0.0,0.9285714285714286,0.07142857142857142,13,4,1,0
F,0-20,0,0.25,F,0-20,0.901039089559624,0.8604651162790697,0.13953488372093023,0.7127659574468085,0.2872340425531915,0.578125,0.9178082191780822,0.0821917808219178,67,27,6,37
F,0-20,0,0.25,F,20-40,0.8869085225950188,0.860655737704918,0.13934426229508196,0.7545638945233266,0.24543610547667344,0.4646017699115044,0.9562982005141388,0.043701799485861184,372,121,17,105
F,0-20,0,0.25,F,40-60,0.86982802913531,0.8048780487804879,0.1951219512195122,0.7707558859975217,0.22924411400247832,0.416403785488959,0.9510703363914373,0.04892966360856269,622,185,32,132
F,0-20,0,0.25,F,60-80,0.8376714779911727,0.8415841584158416,0.15841584158415842,0.691566265060241,0.30843373493975906,0.39906103286384975,0.9471947194719472,0.052805280528052806,287,128,16,85
F,0-20,0,0.25,F,80+,0.8831168831168832,0.7272727272727273,0.2727272727272727,0.7619047619047619,0.23809523809523808,0.6153846153846154,0.8421052631578947,0.15789473684210525,16,5,3,8
F,0-20,0,0.5,,,0.8642282592170669,0.7710168134507606,0.22898318654923938,0.7958323577616483,0.20416764223835168,0.5247956403269755,0.9223880597014925,0.07761194029850746,3399,872,286,963
F,0-20,0,0.5,M,,0.8582256602350116,0.7747524752475248,0.22524752475247525,0.7906595657517411,0.2093404342482589,0.5505716798592788,0.9138257575757576,0.08617424242424243,1930,511,182,626
F,0-20,0,0.5,F,,0.8720059972987373,0.764172335600907,0.23582766439909297,0.8027322404371585,0.19726775956284154,0.4828080229226361,0.9338842975206612,0.06611570247933884,1469,361,104,337
F,0-20,0,0.5,,0-20,0.9193459119496855,0.8666666666666667,0.13333333333333333,0.8188679245283019,0.1811320754716981,0.7303370786516854,0.9156118143459916,0.08438818565400844,217,48,20,130
F,0-20,0,0.5,,20-40,0.8696348386412196,0.7724867724867724,0.2275132275132275,0.7921604375569735,0.20783956244302643,0.5615384615384615,0.9099476439790576,0.09005235602094241,869,228,86,292
